代码,年化收益%,夏普比率,最大回撤%
159994,0.17,-2.18,0.67
512930,0.21,-2.2,0.76
501038,0.09,-2.2,1.2
513050,0.01,-2.2,1.81
159933,0.19,-2.21,1.27
159871,0.14,-2.21,0.92
159952,0.12,-2.23,1.15
508002,0.64,-2.26,0.75
515200,0.14,-2.26,1.07
516650,0.07,-2.27,0.81
159995,0.14,-2.28,1.04
159961,0.13,-2.3,1.32
501071,0.11,-2.33,0.85
513600,0.04,-2.33,1.25
501001,0.06,-2.35,1.59
159973,0.11,-2.37,1.18
159529,0.22,-2.38,0.63
159905,0.07,-2.39,1.56
159881,0.04,-2.39,0.93
501051,0.13,-2.4,1.11
159824,0.06,-2.45,1.09
510650,0.18,-2.46,0.91
159681,0.13,-2.46,0.46
512400,0.1,-2.46,0.91
513660,0.1,-2.47,1.24
501065,0.05,-2.47,1.57
517390,0.24,-2.53,0.56
508001,-0.35,-2.53,1.95
501090,0.07,-2.54,0.98
563010,0.38,-2.55,0.31
588320,0.17,-2.55,0.41
513300,0.27,-2.56,0.58
501022,0.19,-2.56,0.81
512760,0.15,-2.57,1.08
510510,0.11,-2.57,2.06
501085,0.24,-2.59,0.92
159985,0.17,-2.61,0.62
159558,0.58,-2.63,0.37
159682,0.16,-2.63,0.42
159935,0.11,-2.63,1.81
159633,0.2,-2.66,0.99
508077,0.13,-2.66,1.01
501201,-0.15,-2.66,1.63
560300,0.51,-2.67,0.37
159506,0.14,-2.69,0.48
159671,0.16,-2.71,0.33
515070,0.11,-2.73,0.75
560780,0.48,-2.75,0.33
588460,0.16,-2.75,0.41
159923,0.1,-2.75,1.41
159929,0.03,-2.76,1.64
508009,-0.06,-2.79,1.8
159913,0.11,-2.8,1.01
159977,0.09,-2.8,1.03
512580,0.02,-2.8,1.13
159300,0.98,-2.82,0.83
159632,0.37,-2.83,0.5
159936,0.09,-2.83,1.58
159949,0.06,-2.83,0.93
159552,0.72,-2.84,0.3
513090,0.19,-2.84,0.65
159527,0.54,-2.85,0.49
159910,0.11,-2.85,1.08
159629,0.18,-2.86,1.02
159665,0.27,-2.88,0.48
508019,-0.18,-2.88,0.83
560010,0.15,-2.89,1.1
159912,0.07,-2.89,1.26
159557,0.42,-2.91,0.38
506002,0.12,-2.91,0.6
512290,-0.02,-2.92,1.64
159857,-0.01,-2.93,1.04
512190,0.25,-2.94,0.47
510290,0.12,-2.96,1.64
516010,0.07,-2.96,0.95
515650,0.04,-2.96,1.09
508099,-0.53,-2.96,2.2
510090,0.12,-2.97,0.87
159931,0.09,-2.97,0.99
159776,0.06,-2.97,0.75
510060,0.05,-2.98,1.33
508088,0.06,-2.99,1.17
512640,0.07,-3.03,1.07
513750,0.45,-3.05,0.25
516880,-0.01,-3.06,1.03
562590,0.31,-3.07,0.34
501015,0.12,-3.11,0.47
512870,0.03,-3.11,1.21
512480,0.15,-3.13,0.95
159906,0.03,-3.13,1.14
515790,-0.06,-3.14,1.3
588350,0.16,-3.15,0.42
516180,-0.01,-3.15,0.98
159603,0.12,-3.16,0.44
159869,0.09,-3.19,0.97
159555,0.46,-3.2,0.23
159997,0.07,-3.21,0.63
159819,0.08,-3.22,0.5
159553,0.51,-3.23,0.25
159516,0.29,-3.24,0.32
512090,0.14,-3.24,0.67
513120,0.11,-3.24,0.57
512510,0.04,-3.24,0.98
588680,0.68,-3.25,0.32
511220,0.33,-3.25,0.44
515210,0.12,-3.25,1.3
159325,0.43,-3.28,0.31
588100,0.27,-3.29,0.58
508066,-0.12,-3.29,1.54
562660,0.3,-3.3,0.26
501203,0.06,-3.3,0.6
159676,0.21,-3.31,0.34
159982,0.16,-3.31,0.63
159890,0.12,-3.33,0.73
512690,0.05,-3.36,0.71
502003,0.05,-3.37,0.79
159969,0.05,-3.37,1.02
516510,0.13,-3.4,0.71
159709,0.08,-3.41,0.45
508015,-0.46,-3.41,2.83
515750,0.08,-3.42,0.7
512990,0.07,-3.43,0.72
159546,0.4,-3.46,0.4
516850,-0.14,-3.46,1.32
588260,0.24,-3.47,0.63
516770,0.12,-3.47,0.94
512360,0.12,-3.48,0.73
502023,0.05,-3.48,1.32
501080,0.05,-3.48,1.04
516590,-0.06,-3.48,1.04
512550,0.08,-3.49,0.83
159675,0.08,-3.49,0.45
159804,0.06,-3.49,0.8
512200,-0.14,-3.49,1.99
501026,0.08,-3.5,0.76
512150,0.11,-3.51,0.77
159903,0.03,-3.51,1.09
501225,0.36,-3.52,0.44
512160,0.11,-3.52,0.64
159615,0.06,-3.52,0.62
516520,0.06,-3.52,0.65
516330,0.04,-3.52,0.58
502000,0.09,-3.53,0.82
506001,0.11,-3.54,0.53
512520,0.11,-3.55,0.61
159713,0.07,-3.55,0.6
513280,0.06,-3.56,0.61
501097,0.14,-3.59,0.46
159560,0.42,-3.6,0.33
515250,0.03,-3.6,0.66
159810,0.02,-3.61,0.88
515320,0.07,-3.62,0.53
501019,0.05,-3.63,0.77
588120,0.1,-3.64,0.47
159813,0.04,-3.66,0.75
501028,0.08,-3.67,0.82
159808,0.03,-3.67,0.85
501032,0.15,-3.68,0.73
159943,0.06,-3.68,0.67
513200,0.05,-3.68,0.61
501088,-0.01,-3.68,1.11
588030,0.1,-3.69,0.47
515160,0.1,-3.71,0.59
508036,-0.77,-3.71,0.74
588190,0.1,-3.72,0.47
512330,0.07,-3.72,0.77
588220,0.1,-3.74,0.47
588370,0.12,-3.75,0.41
520500,0.44,-3.76,0.52
510360,0.07,-3.76,0.8
516630,0.15,-3.77,0.71
515860,0.06,-3.78,0.73
501018,0.02,-3.79,1.1
501311,0.01,-3.79,1.28
159747,-0.1,-3.8,1.08
159888,0.01,-3.81,0.71
159363,0.42,-3.83,0.16
506005,0.09,-3.83,0.54
515850,0.09,-3.83,0.58
510560,0.05,-3.83,0.65
512680,0.03,-3.83,0.76
512660,0.02,-3.83,0.75
159976,0.07,-3.84,0.71
512670,0.05,-3.84,0.72
508021,-0.26,-3.84,1.87
515590,0.14,-3.85,0.6
510550,0.1,-3.85,0.75
516660,-0.08,-3.85,1.13
513000,0.16,-3.86,0.39
159732,0.03,-3.86,0.54
501096,0.04,-3.87,0.73
513190,0.4,-3.89,0.21
159739,0.16,-3.89,0.68
501060,0.24,-3.9,0.47
513520,0.16,-3.9,0.4
159971,0.08,-3.9,0.71
159773,0.02,-3.91,0.58
588230,0.42,-3.93,0.2
512180,0.1,-3.93,0.57
159715,0.07,-3.93,0.51
159786,0.03,-3.93,0.54
516380,-0.07,-3.94,0.93
159755,-0.06,-3.96,0.95
513140,0.23,-3.97,0.22
501045,0.06,-3.97,0.74
561800,-0.04,-3.97,0.77
501061,0.38,-3.98,0.62
515810,0.1,-3.99,0.57
501021,0.04,-3.99,1.02
501070,0.15,-4.01,0.34
512970,0.07,-4.01,0.72
